Industry,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance
Retail,2015,459.2,6,337.5,,57,60.7,33.5,76.8
Retail,2016,473.8,4.6,366.6,3.2,56.7,58.9,32.8,78.5
Retail,2017,564.9,5.2,313.4,19.2,56.5,57.6,34,77.8
Retail,2018,558.4,4.3,283,-1.1,58,62.3,33.4,78.3
Retail,2019,554.5,4.9,538.1,-0.7,56.6,63.7,30,76.1
Retail,2020,567.5,6,384.1,2.3,55.7,65.1,28.5,73.5
Retail,2021,604.2,5.2,479.3,6.5,55.6,66.8,25.5,74.6
Retail,2022,593.2,4.2,248.4,-1.8,57.7,69,27.1,76.9
Retail,2023,636.7,5.3,373.9,7.3,57.8,68.3,27,78.1
Retail,2024,687,4.6,460.1,7.9,58.5,68.9,29.9,76.8
Retail,2025,734.5,5,628.8,6.9,59.2,70.7,29.1,78
Retail,2015,2934.8,-2.9,1803.1,,59.9,61.1,48.6,69.8
Retail,2016,3140.3,-1.1,13885.2,7,60.6,61.1,50.1,70.5
Retail,2017,3463.1,-2.2,5283.7,10.3,61.7,61.4,53.1,70.5
Retail,2018,2939.7,-1.7,4408,-15.1,61.5,61.7,52,70.6
Retail,2019,3125.6,1.2,566.4,6.3,61.1,63.1,52.5,67.8
Retail,2020,2999.8,-0.3,1997.8,-4,63.3,64.2,57.9,67.9
Retail,2021,3167.9,-0.4,15634.9,5.6,63,62.9,60,66.1
Retail,2022,3106.4,0.8,514.3,-1.9,64,66.7,57.7,67.8
Retail,2023,3691.6,-0.7,2523.2,18.8,66,66.6,61.6,70
Retail,2024,3822.9,-1.2,5807.8,3.6,65.7,65.4,63,68.7
Retail,2025,4371.5,-2.4,20376.3,14.4,66.3,65.8,62.8,70.3
Transportation,2015,259.7,5.9,140.2,,25.5,3.3,41.6,31.5
Transportation,2016,245.2,8.5,224,-5.6,26.9,7,40.2,33.5
Transportation,2017,282.4,6.5,289.7,15.2,27.9,8.8,42.6,32.3
Transportation,2018,300.2,3.1,100.7,6.3,28.2,8.3,42.9,33.5
Transportation,2019,322.6,5.1,290.7,7.5,29.8,14.8,43.6,31.2
Transportation,2020,337.9,2.7,76.5,4.7,30.8,17.7,42,32.6
Transportation,2021,348.4,4.5,128.8,3.1,31.6,18.5,43.9,32.2
Transportation,2022,389.6,7.1,327.9,11.8,31.3,18.8,44.9,30.2
Transportation,2023,415.2,8.1,498.7,6.6,32.3,20.2,43.8,32.9
Transportation,2024,438,10.3,739.4,5.5,32.1,23.4,41.5,31.5
Transportation,2025,479.8,11.6,1020.7,9.5,34.3,24.4,43.7,34.9
Technology,2015,5036.7,21.2,23192.4,,54.2,97.6,46.2,18.9
Technology,2016,5192.5,25.1,25137.8,3.1,54.6,98.9,45.2,19.9
Technology,2017,5497.1,23.4,33251,5.9,55.9,100,47.4,20.4
Technology,2018,5978.5,26.1,31801,8.8,55.6,99.7,46.3,20.7
Technology,2019,6529.4,28.2,42706.4,9.2,56,100,46.1,21.8
Technology,2020,6123.5,30.6,38574.1,-6.2,58.4,100,50.9,24.4
Technology,2021,5784.3,29.4,37578.6,-5.5,60,100,55.1,24.8
Technology,2022,5711.3,26.1,35339.1,-1.3,60.5,100,58.9,22.5
Technology,2023,5844.2,26.5,34781.6,2.3,62.6,100,64.1,23.8
Technology,2024,6555.1,26,45451.6,12.2,63.5,100,64.8,25.6
Technology,2025,7675.6,22.9,42400.4,17.1,64.1,100,65.4,27
Finance,2015,2720.9,16.1,3884.5,,43.5,71.9,19.1,39.4
Finance,2016,2647.4,17.6,9275.6,-2.7,42.5,74.2,16,37.4
Finance,2017,2553.4,19.9,9760.9,-3.6,44.3,74.7,18.7,39.6
Finance,2018,2758.9,22.6,7367.6,8.1,45.4,75.8,18.7,41.8
Finance,2019,2746.9,21.3,11365.5,-0.4,46,77,20.4,40.7
Finance,2020,3243,19.3,10066.1,18.1,46.8,75.5,22.5,42.5
Finance,2021,3120.1,19.3,8787.3,-3.8,47.5,78.5,22.7,41.3
Finance,2022,3094.2,20.1,9600.4,-0.8,47.6,78.4,22.3,42.3
Finance,2023,3281.7,21.9,6441.8,6.1,45.9,76.5,20,41.3
Finance,2024,3282.1,22.5,9663,0,47.4,80.4,19.9,41.8
Finance,2025,3162.1,22.4,6674.6,-3.7,48,82.1,18.7,43.3
Transportation,2015,2339.1,0.8,256.7,,69.1,56.9,76.8,73.7
Transportation,2016,2574.5,-1,11890.9,10.1,68.4,56.1,76.9,72.2
Transportation,2017,2508.9,-4,3844.3,-2.6,68.7,60.3,75.8,70
Transportation,2018,2472.4,-8.2,1595.7,-1.5,66.9,60,73.1,67.5
Transportation,2019,2598.8,-8.5,8095.7,5.1,68.7,62.3,73.8,70.1
Transportation,2020,2563.3,-11.4,10251.2,-1.4,70.5,64,74.3,73.3
Transportation,2021,2466.6,-8.5,7550,-3.8,70.8,64.2,75.3,72.9
Transportation,2022,2747.5,-7.9,12663.9,11.4,72.5,68.4,77,72.1
Transportation,2023,3009.5,-9.8,4910,9.5,71.7,68.1,75.7,71.2
Transportation,2024,3095.6,-8.6,2201.1,2.9,69.5,62.2,75.7,70.7
Transportation,2025,3297,-10,7887.8,6.5,73.1,68.2,77.4,73.6
Healthcare,2015,4664.1,6.2,4597.8,,53,74.6,37.1,47.5
Healthcare,2016,5080.6,9,6228.6,8.9,52.4,72.7,38.3,46.1
Healthcare,2017,5192,6.4,7750.2,2.2,53.9,77.8,38.1,45.7
Healthcare,2018,5320.5,4.3,2608,2.5,53.4,77.7,38.4,44.2
Healthcare,2019,5421.6,1.3,1267,1.9,54.4,78.5,39,45.7
Healthcare,2020,6225.1,3.5,4571.3,14.8,53.9,78.3,38.5,45
Healthcare,2021,6470.9,-2.3,21238.4,3.9,53.3,78,34.6,47.2
Healthcare,2022,6387.4,-2.2,18488.5,-1.3,53.9,80.9,34.8,45.8
Healthcare,2023,6014.8,-1.7,10294.8,-5.8,53.7,81.6,35.2,44.2
Healthcare,2024,6084.6,-3.6,27425.5,1.2,55.8,81.9,39.1,46.5
Healthcare,2025,6444.2,0.1,38,5.9,58.4,87.6,41.6,46.1
Healthcare,2015,7090.7,10.6,14828.8,,74.4,69.4,87.8,66.1
Healthcare,2016,7395.2,10.4,17692.4,4.3,75.5,69.3,89.8,67.6
Healthcare,2017,7077.8,10.7,14011.4,-4.3,76.8,71.8,92.2,66.6
Healthcare,2018,6957.5,8.2,9292.2,-1.7,76.6,69.5,92.8,67.6
Healthcare,2019,6690.8,9.7,8033.5,-3.8,77,67.2,98.8,64.9
Healthcare,2020,6751.9,8.7,7083.4,0.9,78.5,70.2,98.2,67
Healthcare,2021,6397.5,10.1,10983.2,-5.2,78.2,74.1,95.1,65.5
Healthcare,2022,6583.8,10.3,8606.9,2.9,79.6,75.2,95.3,68.3
Healthcare,2023,6810.4,11.1,9866,3.4,79.6,75.4,95.2,68.2
Healthcare,2024,7168.5,13.7,17539,5.3,81.4,78.2,95,71.1
Healthcare,2025,7117.1,8.6,10386.3,-0.7,81.6,77.1,97.6,69.9
Technology,2015,1490.2,11.9,4559,,59.8,37.8,77.7,63.7
Technology,2016,1761.8,9.7,4234.3,18.2,58.8,38,78.7,59.7
Technology,2017,2085,15.3,7991.2,18.3,60.2,37.2,77.2,66.2
Technology,2018,2575.4,14.1,5543,23.5,63.5,40.8,81.7,68.1
Technology,2019,3208.8,11.2,8416.4,24.6,63.3,40.5,83.8,65.6
Technology,2020,3584.9,10.1,10662.5,11.7,63.1,39.7,84.7,64.9
Technology,2021,4399.8,8.5,7008.7,22.7,63.8,39.7,84.3,67.3
Technology,2022,4673,6.7,8480.9,6.2,65.3,43.5,83.4,69
Technology,2023,5102.1,4.4,5222,9.2,63.3,45,80.8,64
Technology,2024,5853.9,6.3,5804.7,14.7,63.2,45.6,81.9,62.1
Technology,2025,6764,4.5,5954.9,15.5,63.5,48.4,82.6,59.6
Technology,2015,48720,11.9,186028.6,,62.2,81.7,62.5,42.5
Technology,2016,56121.2,9.4,134112.7,15.2,64.8,79.6,68.6,46.2
Technology,2017,60556.9,8.6,86036,7.9,65,79.2,67.5,48.5
Technology,2018,65683.3,11,223764.9,8.5,65.1,79.7,70,45.8
Technology,2019,72498.6,11,215468.5,10.4,64.2,77.8,72.1,42.5
Technology,2020,79033.4,13.5,313712.7,9,65.8,81.3,73.5,42.4
Technology,2021,79619.8,12,263994,0.7,67,81.8,75.4,43.9
Technology,2022,93510.8,14.4,446629.1,17.4,67.1,79.8,78.1,43.5
Technology,2023,108029.1,17.3,416982,15.5,67.4,79.5,77.9,44.9
Technology,2024,117939.2,14.9,610070,9.2,68.6,77.8,78.2,50
Technology,2025,104787.3,17.1,412517.1,-11.2,69.6,80.9,79.9,48.1
Energy,2015,1102.8,11,1367.9,,59.5,44.6,75.4,58.5
Energy,2016,833.7,7.9,657,-24.4,60.1,45.7,75.2,59.4
Energy,2017,621.3,10.8,849.4,-25.5,58.6,44.8,73,58
Energy,2018,571.5,6,551.3,-8,61.2,51.1,73.7,58.8
Energy,2019,507.9,-1.6,371.5,-11.1,64.3,57.2,74,61.6
Energy,2020,404.5,-1.7,1455.4,-20.3,64.8,61.8,71.4,61.3
Energy,2021,356.4,0.9,54.4,-11.9,64.4,64,68.7,60.4
Energy,2022,295.3,0.6,17,-17.1,66.2,66.3,71.4,61.1
Energy,2023,266.7,3.7,155.1,-9.7,67.7,68.9,72.8,61.5
Energy,2024,194.5,5.8,114.8,-27.1,69.2,70.3,74.9,62.2
Energy,2025,170.6,4.7,158.9,-12.3,70.3,71.3,76.8,62.8
Finance,2015,3081.4,9.4,2730.3,,52.8,90.4,43.2,24.7
Finance,2016,3202,10.8,6084.8,3.9,54.1,91.5,42.7,28
Finance,2017,3731.1,10.1,6952.2,16.5,51.9,89.1,39.7,26.8
Finance,2018,3934.3,9.5,4269.2,5.4,50.8,88.5,38.2,25.7
Finance,2019,3908.6,9.9,4904,-0.7,51.1,87.4,40,25.9
Finance,2020,3655.5,14.6,5327.5,-6.5,51.8,87,40.9,27.4
Finance,2021,3718.8,19.5,7799.8,1.7,52.1,87,40.2,29
Finance,2022,3533.5,18.5,12821.9,-5,53.2,87.7,43.5,28.4
Finance,2023,3302.9,19.4,11416.2,-6.5,54.5,87.3,42.6,33.6
Finance,2024,3517.8,17.7,11569.2,6.5,54.6,88.6,41.9,33.3
Finance,2025,3577.8,18.4,10452.9,1.7,53.6,87.9,42.6,30.3
Consumer Goods,2015,497.7,9.9,550.8,,44.6,80.2,23,30.7
Consumer Goods,2016,568.6,10.5,1184.3,14.3,46.9,82.8,24.5,33.3
Consumer Goods,2017,690.7,13.2,1132.3,21.5,47.2,85.1,24.3,32.1
Consumer Goods,2018,739.2,14.2,2343.1,7,48.8,86.2,27.3,33
Consumer Goods,2019,833.5,11.5,1872.2,12.7,51.1,88.7,30.8,34
Consumer Goods,2020,954,10.7,1851.3,14.5,52.3,89.5,31.9,35.7
Consumer Goods,2021,1086,9.8,1547.5,13.8,53,90.9,31.6,36.5
Consumer Goods,2022,1067.8,11.7,2422.7,-1.7,54.6,90.7,32.9,40.2
Consumer Goods,2023,1194.6,10.6,1792.2,11.9,55.6,95.5,30.9,40.3
Consumer Goods,2024,1402.8,12.6,2355,17.4,55.2,97,30.3,38.2
Consumer Goods,2025,1671.6,13.9,3789.7,19.2,56.1,97.8,28.3,42.1
Transportation,2015,774.9,6.2,902.2,,38.5,20.8,60,34.8
Transportation,2016,865.3,3.9,279.9,11.7,40,22.4,60.9,36.7
Transportation,2017,917.5,7.5,643.6,6,39.5,24.2,59.9,34.5
Transportation,2018,956.1,5.6,802.8,4.2,40.3,25.1,62.1,33.7
Transportation,2019,986.3,0.9,70.7,3.2,42,25.8,61.2,39.2
Transportation,2020,1013.5,3.4,638.5,2.8,41.3,24.6,59.8,39.6
Transportation,2021,1081.7,0.5,90.6,6.7,42.9,26.6,63.8,38.3
Transportation,2022,1158.1,-0.1,988.5,7.1,42.7,27.5,62.3,38.3
Transportation,2023,1404.4,1.5,364,21.3,42.9,27.5,61.9,39.3
Transportation,2024,1408.8,6,1560.2,0.3,44.8,29.2,64.2,41.1
Transportation,2025,1623.4,4.7,678.5,15.2,46.1,30.4,66.6,41.2
Healthcare,2015,5737.2,23.7,15249,,51,75.8,50.4,26.7
Healthcare,2016,5724.4,25.1,29017.6,-0.2,50.6,76.3,47.5,28
Healthcare,2017,6468.8,23.9,23465.8,13,52.6,80.4,44.9,32.5
Healthcare,2018,6947.3,28.3,45474.5,7.4,54.2,81.1,47.2,34.3
Healthcare,2019,6699.5,32,45050,-3.6,55.6,84.8,48.5,33.4
Healthcare,2020,7409.3,31.3,40312.2,10.6,56.9,86.9,48.2,35.5
Healthcare,2021,6442.6,34.2,27413.4,-13,56.6,84.4,49.5,35.8
Healthcare,2022,7357.3,31.1,33992.8,14.2,57.1,84.5,50.7,36.2
Healthcare,2023,8220.8,31.2,38672.5,11.7,57.6,82.9,50.7,39.2
Healthcare,2024,9291,27.8,53148.3,13,57.6,83.2,50.5,39
Healthcare,2025,11489.1,28.7,61972.3,23.7,58.6,85.1,50.4,40.3
Energy,2015,1160.6,16.3,1921.2,,47.2,46.8,38.7,56.1
